"id:ID",":Modifier","type"
"modifier0385","","endswith"
"modifier0386","","endswith"
"modifier0387","","endswith"
"modifier0388","","endswith"
"modifier0389","","endswith"
"modifier0390","","contains"
"modifier0391","","startswith"
"modifier0392","","contains"
"modifier0393","","contains"
"modifier0394","","contains"
"modifier0395","","contains"
"modifier0396","","contains|all"
"modifier0397","","contains|all"
"modifier0398","","contains|all"
"modifier0399","","endswith"
"modifier0400","","endswith"
"modifier0401","","endswith"
"modifier0402","","endswith"
"modifier0403","","endswith"
"modifier0404","","endswith"
"modifier0405","","endswith"
"modifier0406","","endswith"
"modifier0407","","endswith"
"modifier0408","","cidr"
"modifier0409","","cidr"
"modifier0410","","cidr"
"modifier0411","","cidr"
"modifier0412","","cidr"
"modifier0413","","cidr"
"modifier0414","","cidr"
"modifier0415","","cidr"
"modifier0416","","cidr"
"modifier0417","","cidr"
"modifier0418","","cidr"
"modifier0419","","cidr"
"modifier0420","","cidr"
"modifier0421","","cidr"
"modifier0422","","cidr"
"modifier0423","","cidr"
"modifier0424","","cidr"
"modifier0425","","cidr"
"modifier0426","","cidr"
"modifier0427","","cidr"
"modifier0428","","cidr"
"modifier0429","","cidr"
"modifier0430","","cidr"
"modifier0431","","cidr"
"modifier0432","","cidr"
"modifier0433","","cidr"
"modifier0434","","cidr"
"modifier0435","","cidr"
"modifier0436","","cidr"
"modifier0437","","cidr"
"modifier0438","","cidr"
"modifier0439","","cidr"
"modifier0440","","cidr"
"modifier0441","","cidr"
"modifier0442","","cidr"
"modifier0443","","cidr"
"modifier0444","","cidr"
"modifier0445","","cidr"
"modifier0446","","cidr"
"modifier0447","","cidr"
"modifier0448","","cidr"
"modifier0449","","cidr"
"modifier0450","","cidr"
"modifier0451","","cidr"
"modifier0452","","cidr"
"modifier0453","","cidr"
"modifier0454","","cidr"
"modifier0455","","cidr"
"modifier0456","","cidr"
"modifier0457","","cidr"
"modifier0458","","cidr"
"modifier0459","","cidr"
"modifier0460","","cidr"
"modifier0461","","cidr"
"modifier0462","","cidr"
"modifier0463","","cidr"
"modifier0464","","cidr"
"modifier0465","","cidr"
"modifier0466","","cidr"
"modifier0467","","cidr"
"modifier0468","","cidr"
"modifier0469","","cidr"
"modifier0470","","cidr"
"modifier0471","","cidr"
"modifier0472","","cidr"
"modifier0473","","cidr"
"modifier0474","","cidr"
"modifier0475","","cidr"
"modifier0476","","cidr"
"modifier0477","","cidr"
"modifier0478","","cidr"
"modifier0479","","cidr"
"modifier0480","","cidr"
"modifier0481","","cidr"
"modifier0482","","cidr"
"modifier0483","","cidr"
"modifier0484","","cidr"
"modifier0485","","cidr"
"modifier0486","","cidr"
"modifier0487","","cidr"
"modifier0488","","cidr"
"modifier0489","","cidr"
"modifier0490","","cidr"
"modifier0491","","cidr"
"modifier0492","","cidr"
"modifier0493","","cidr"
"modifier0494","","cidr"
"modifier0495","","cidr"
"modifier0496","","cidr"
"modifier0497","","cidr"
"modifier0498","","cidr"
"modifier0499","","cidr"
"modifier0500","","cidr"
"modifier0501","","cidr"
"modifier0502","","cidr"
"modifier0503","","cidr"
"modifier0504","","cidr"
"modifier0505","","cidr"
"modifier0506","","cidr"
"modifier0507","","cidr"
"modifier0508","","cidr"
"modifier0509","","cidr"
"modifier0510","","cidr"
"modifier0511","","cidr"
"modifier0512","","cidr"
"modifier0513","","cidr"
"modifier0514","","cidr"
"modifier0515","","cidr"
"modifier0516","","cidr"
"modifier0517","","cidr"
"modifier0518","","cidr"
"modifier0519","","cidr"
"modifier0520","","cidr"
"modifier0521","","cidr"
"modifier0522","","cidr"
"modifier0523","","cidr"
"modifier0524","","cidr"
"modifier0525","","cidr"
"modifier0526","","cidr"
"modifier0527","","cidr"
"modifier0528","","cidr"
"modifier0529","","cidr"
"modifier0530","","cidr"
"modifier0531","","cidr"
"modifier0532","","cidr"
"modifier0533","","cidr"
"modifier0534","","cidr"
"modifier0535","","cidr"
"modifier0536","","cidr"
"modifier0537","","cidr"
"modifier0538","","cidr"
"modifier0539","","cidr"
"modifier0540","","cidr"
"modifier0541","","cidr"
"modifier0542","","cidr"
"modifier0543","","cidr"
"modifier0544","","endswith"
"modifier0545","","endswith"
"modifier0546","","contains"
"modifier0547","","endswith"
"modifier0548","","endswith"
"modifier0549","","startswith"
"modifier0550","","startswith"
"modifier0551","","endswith"
"modifier0552","","endswith"
"modifier0553","","endswith"
"modifier0554","","endswith"
"modifier0555","","endswith"
"modifier0556","","endswith"
"modifier0557","","endswith"
"modifier0558","","cidr"
"modifier0559","","cidr"
"modifier0560","","cidr"
"modifier0561","","cidr"
"modifier0562","","cidr"
"modifier0563","","cidr"
"modifier0564","","cidr"
"modifier0565","","cidr"
"modifier0566","","startswith"
"modifier0567","","startswith"
"modifier0568","","endswith"
"modifier0569","","contains"
"modifier0570","","contains"
"modifier0571","","contains"
"modifier0572","","contains"
"modifier0573","","contains"
"modifier0574","","contains"
"modifier0575","","contains"
"modifier0576","","contains"
"modifier0577","","contains"
"modifier0578","","contains"
"modifier0579","","contains"
"modifier0580","","contains"
"modifier0581","","contains"
"modifier0582","","endswith"
"modifier0583","","endswith"
"modifier0584","","endswith"
"modifier0585","","endswith"
"modifier0586","","endswith"
"modifier0587","","endswith"
"modifier0588","","endswith"
"modifier0589","","endswith"
"modifier0590","","endswith"
"modifier0591","","endswith"
"modifier0592","","endswith"
"modifier0593","","endswith"
"modifier0594","","endswith"
"modifier0595","","endswith"
"modifier0596","","endswith"
"modifier0597","","endswith"
"modifier0598","","endswith"
"modifier0599","","endswith"
"modifier0600","","endswith"
"modifier0601","","endswith"
"modifier0602","","endswith"
"modifier0603","","endswith"
"modifier0604","","endswith"
"modifier0605","","endswith"
"modifier0606","","endswith"
"modifier0607","","endswith"
"modifier0608","","endswith"
"modifier0609","","endswith"
"modifier0610","","endswith"
"modifier0611","","endswith"
"modifier0612","","endswith"
"modifier0613","","endswith"
"modifier0614","","endswith"
"modifier0615","","cidr"
"modifier0616","","cidr"
"modifier0617","","cidr"
"modifier0618","","cidr"
"modifier0619","","cidr"
"modifier0620","","cidr"
"modifier0621","","cidr"
"modifier0622","","cidr"
"modifier0623","","endswith"
"modifier0624","","endswith"
"modifier0625","","cidr"
"modifier0626","","cidr"
"modifier0627","","cidr"
"modifier0628","","cidr"
"modifier0629","","cidr"
"modifier0630","","cidr"
"modifier0631","","cidr"
"modifier0632","","cidr"
"modifier0633","","endswith"
"modifier0634","","endswith"
"modifier0635","","cidr"
"modifier0636","","cidr"
"modifier0637","","endswith"
"modifier0638","","endswith"
"modifier0639","","endswith"
"modifier0640","","endswith"
"modifier0641","","endswith"
"modifier0642","","contains"
"modifier0643","","endswith"
"modifier0644","","endswith"
"modifier0645","","cidr"
"modifier0646","","cidr"
"modifier0647","","cidr"
"modifier0648","","cidr"
"modifier0649","","cidr"
"modifier0650","","cidr"
"modifier0651","","cidr"
"modifier0652","","cidr"
"modifier0653","","endswith"
"modifier0654","","endswith"
"modifier0655","","endswith"
"modifier0656","","cidr"
"modifier0657","","cidr"
"modifier0658","","cidr"
"modifier0659","","cidr"
"modifier0660","","cidr"
"modifier0661","","cidr"
"modifier0662","","cidr"
"modifier0663","","cidr"
"modifier0664","","cidr"
"modifier0665","","cidr"
"modifier0666","","cidr"
"modifier0667","","cidr"
"modifier0668","","endswith"
"modifier0669","","endswith"
"modifier0670","","contains|all"
"modifier0671","","contains|all"
"modifier0672","","contains|all"
"modifier0673","","contains|all"
"modifier0674","","contains"
"modifier0675","","contains|all"
"modifier0676","","contains|all"
"modifier0677","","endswith"
"modifier0678","","startswith"
"modifier0679","","startswith"
"modifier0680","","startswith"
"modifier0681","","startswith"
"modifier0682","","endswith"
"modifier0683","","endswith"
"modifier0684","","startswith"
"modifier0685","","startswith"
"modifier0686","","endswith"
"modifier0687","","endswith"
"modifier0688","","endswith"
"modifier0689","","endswith"
"modifier0690","","endswith"
"modifier0691","","endswith"
"modifier0692","","endswith"
"modifier0693","","contains"
"modifier0694","","contains"
"modifier0695","","cidr"
"modifier0696","","cidr"
"modifier0697","","cidr"
"modifier0698","","cidr"
"modifier0699","","cidr"
"modifier0700","","cidr"
"modifier0701","","cidr"
"modifier0702","","cidr"
"modifier0703","","cidr"
"modifier0704","","cidr"
"modifier0705","","cidr"
"modifier0706","","cidr"
"modifier0707","","cidr"
"modifier0708","","cidr"
"modifier0709","","cidr"
"modifier0710","","contains"
"modifier0711","","contains"
"modifier0712","","contains|all"
"modifier0713","","contains|all"
"modifier0714","","endswith"
"modifier0715","","endswith"
"modifier0716","","endswith"
"modifier0717","","endswith"
"modifier0718","","endswith"
"modifier0719","","endswith"
"modifier0720","","endswith"
"modifier0721","","endswith"
"modifier0722","","endswith"
"modifier0723","","endswith"
"modifier0724","","endswith"
"modifier0725","","endswith"
"modifier0726","","endswith"
"modifier0727","","endswith"
"modifier0728","","endswith"
"modifier0729","","endswith"
"modifier0730","","endswith"
"modifier0731","","endswith"
"modifier0732","","endswith"
"modifier0733","","endswith"
"modifier0734","","endswith"
"modifier0735","","endswith"
"modifier0736","","endswith"
"modifier0737","","endswith"
"modifier0738","","startswith"
"modifier0739","","endswith"
"modifier0740","","endswith"
"modifier0741","","endswith"
"modifier0742","","endswith"
"modifier0743","","endswith"
"modifier0744","","endswith"
"modifier0745","","endswith"
"modifier0746","","cidr"
"modifier0747","","cidr"
"modifier0748","","cidr"
"modifier0749","","cidr"
"modifier0750","","cidr"
"modifier0751","","cidr"
"modifier0752","","cidr"
"modifier0753","","cidr"
"modifier0754","","endswith"
"modifier0755","","startswith"
"modifier0756","","endswith"
"modifier0757","","startswith"
"modifier0758","","endswith"
"modifier0759","","startswith"
"modifier0760","","startswith"
"modifier0761","","endswith"
"modifier0762","","endswith"
"modifier0763","","contains"
"modifier0764","","contains"
"modifier0765","","endswith"
"modifier0766","","contains"
"modifier0767","","contains"
"modifier0768","","contains"
"modifier0769","","endswith"
"modifier0770","","endswith"
"modifier0771","","endswith"
"modifier0772","","endswith"
"modifier0773","","startswith"
"modifier0774","","endswith"
"modifier0775","","contains"
"modifier0776","","endswith"
"modifier0777","","contains"
"modifier0778","","endswith"
"modifier0779","","startswith"
"modifier0780","","startswith"
"modifier0781","","endswith"
"modifier0782","","contains"
"modifier0783","","endswith"
"modifier0784","","startswith"
"modifier0785","","startswith"
"modifier0786","","endswith"
"modifier0787","","startswith"
"modifier0788","","startswith"
"modifier0789","","endswith"
"modifier0790","","startswith"
"modifier0791","","startswith"
"modifier0792","","endswith"
"modifier0793","","contains"
"modifier0794","","endswith"
"modifier0795","","contains"
"modifier0796","","endswith"
"modifier0797","","startswith"
"modifier0798","","startswith"
"modifier0799","","endswith"
"modifier0800","","startswith"
"modifier0801","","startswith"
"modifier0802","","endswith"
"modifier0803","","startswith"
"modifier0804","","startswith"
"modifier0805","","endswith"
"modifier0806","","contains"
"modifier0807","","endswith"
"modifier0808","","endswith"
"modifier0809","","endswith"
"modifier0810","","cidr"
"modifier0811","","cidr"
"modifier0812","","cidr"
"modifier0813","","cidr"
"modifier0814","","cidr"
"modifier0815","","cidr"
"modifier0816","","cidr"
"modifier0817","","cidr"
"modifier0818","","cidr"
"modifier0819","","endswith"
"modifier0820","","endswith"
"modifier0821","","endswith"
"modifier0822","","endswith"
"modifier0823","","endswith"
"modifier0824","","endswith"
"modifier0825","","endswith"
"modifier0826","","cidr"
"modifier0827","","cidr"
"modifier0828","","cidr"
"modifier0829","","cidr"
"modifier0830","","cidr"
"modifier0831","","cidr"
"modifier0832","","cidr"
"modifier0833","","cidr"
"modifier0834","","contains"
"modifier0835","","contains"
"modifier0836","","contains"
"modifier0837","","contains"
"modifier0838","","contains"
"modifier0839","","contains"
"modifier0840","","contains"
"modifier0841","","endswith"
"modifier0842","","endswith"
"modifier0843","","startswith"
"modifier0844","","startswith"
"modifier0845","","endswith"
"modifier0846","","endswith"
"modifier0847","","endswith"
"modifier0848","","endswith"
"modifier0849","","endswith"
"modifier0850","","endswith"
"modifier0851","","endswith"
"modifier0852","","endswith"
"modifier0853","","endswith"
"modifier0854","","endswith"
"modifier0855","","endswith"
"modifier0856","","endswith"
"modifier0857","","endswith"
"modifier0858","","endswith"
"modifier0859","","endswith"
"modifier0860","","endswith"
"modifier0861","","endswith"
"modifier0862","","endswith"
"modifier0863","","endswith"
"modifier0864","","endswith"
"modifier0865","","endswith"
"modifier0866","","endswith"
"modifier0867","","endswith"
"modifier0868","","endswith"
"modifier0869","","endswith"
"modifier0870","","endswith"
"modifier0871","","endswith"
"modifier0872","","endswith"
"modifier0873","","endswith"
"modifier0874","","endswith"
"modifier0875","","endswith"
"modifier0876","","endswith"
"modifier0877","","endswith"
"modifier0878","","endswith"
"modifier0879","","endswith"
"modifier0880","","endswith"
"modifier0881","","endswith"
"modifier0882","","endswith"
"modifier0883","","endswith"
"modifier0884","","endswith"
"modifier0885","","endswith"
"modifier0886","","endswith"
"modifier0887","","endswith"
"modifier0888","","endswith"
"modifier0889","","endswith"
"modifier0890","","endswith"
"modifier0891","","endswith"
"modifier0892","","endswith"
"modifier0893","","endswith"
"modifier0894","","endswith"
"modifier0895","","startswith"
"modifier0896","","endswith"
"modifier0897","","startswith"
"modifier0898","","endswith"
"modifier0899","","startswith"
"modifier0900","","startswith"
"modifier0901","","endswith"
"modifier0902","","endswith"
"modifier0903","","contains"
"modifier0904","","contains"
"modifier0905","","endswith"
"modifier0906","","contains"
"modifier0907","","contains"
"modifier0908","","contains"
"modifier0909","","endswith"
"modifier0910","","endswith"
"modifier0911","","endswith"
"modifier0912","","endswith"
"modifier0913","","startswith"
"modifier0914","","endswith"
"modifier0915","","contains"
"modifier0916","","endswith"
"modifier0917","","contains"
"modifier0918","","endswith"
"modifier0919","","startswith"
"modifier0920","","startswith"
"modifier0921","","endswith"
"modifier0922","","contains"
"modifier0923","","endswith"
"modifier0924","","startswith"
"modifier0925","","startswith"
"modifier0926","","endswith"
"modifier0927","","startswith"
"modifier0928","","startswith"
"modifier0929","","endswith"
"modifier0930","","contains"
"modifier0931","","endswith"
"modifier0932","","startswith"
"modifier0933","","startswith"
"modifier0934","","endswith"
"modifier0935","","contains"
"modifier0936","","endswith"
"modifier0937","","contains"
"modifier0938","","endswith"
"modifier0939","","startswith"
"modifier0940","","startswith"
"modifier0941","","endswith"
"modifier0942","","startswith"
"modifier0943","","startswith"
"modifier0944","","endswith"
"modifier0945","","startswith"
"modifier0946","","startswith"
"modifier0947","","endswith"
"modifier0948","","startswith"
"modifier0949","","startswith"
"modifier0950","","endswith"
"modifier0951","","endswith"
"modifier0952","","contains"
"modifier0953","","endswith"
"modifier0954","","endswith"
"modifier0955","","contains"
"modifier0956","","endswith"
"modifier0957","","endswith"
"modifier0958","","startswith"
"modifier0959","","startswith"
"modifier0960","","endswith"
"modifier0961","","endswith"
"modifier0962","","endswith"
"modifier0963","","endswith"
"modifier0964","","endswith"
"modifier0965","","endswith"
"modifier0966","","endswith"
"modifier0967","","endswith"
"modifier0968","","endswith"
"modifier0969","","endswith"
"modifier0970","","contains"
"modifier0971","","contains"
"modifier0972","","endswith"
"modifier0973","","endswith"
"modifier0974","","contains"
"modifier0975","","endswith"
"modifier0976","","endswith"
"modifier0977","","endswith"
"modifier0978","","endswith"
"modifier0979","","endswith"
"modifier0980","","contains"
"modifier0981","","endswith"
"modifier0982","","cidr"
"modifier0983","","cidr"
"modifier0984","","cidr"
"modifier0985","","cidr"
"modifier0986","","cidr"
"modifier0987","","cidr"
"modifier0988","","cidr"
"modifier0989","","cidr"
"modifier0990","","startswith"
"modifier0991","","startswith"
"modifier0992","","endswith"
"modifier0993","","endswith"
"modifier0994","","endswith"
"modifier0995","","endswith"
"modifier0996","","endswith"
"modifier0997","","endswith"
"modifier0998","","endswith"
"modifier0999","","cidr"
"modifier1000","","cidr"
"modifier10000","","contains"
"modifier10001","","contains"
"modifier10002","","contains"
"modifier10003","","contains"
"modifier10004","","contains"
"modifier10005","","contains"
"modifier10006","","contains|all"
"modifier10007","","contains|all"
"modifier10008","","endswith"
"modifier10009","","endswith"
"modifier1001","","cidr"
"modifier10010","","startswith"
"modifier10011","","startswith"
"modifier10012","","endswith"
"modifier10013","","endswith"
"modifier10014","","endswith"
"modifier10015","","endswith"
"modifier10016","","endswith"
"modifier10017","","endswith"
"modifier10018","","endswith"
"modifier10019","","endswith"
"modifier1002","","cidr"
"modifier10020","","contains"
"modifier10021","","contains"
"modifier10022","","contains"
"modifier10023","","contains|all"
"modifier10024","","contains|all"
"modifier10025","","contains"
"modifier10026","","endswith"
"modifier10027","","contains"
"modifier10028","","contains"
"modifier10029","","endswith"
"modifier1003","","cidr"
"modifier10030","","contains"
"modifier10031","","endswith"
"modifier10032","","endswith"
"modifier10033","","endswith"
"modifier10034","","endswith"
"modifier10035","","endswith"
"modifier10036","","endswith"
"modifier10037","","endswith"
"modifier10038","","endswith"
"modifier10039","","endswith"
"modifier1004","","cidr"
"modifier10040","","endswith"
"modifier10041","","endswith"
"modifier10042","","endswith"
"modifier10043","","endswith"
"modifier10044","","endswith"
"modifier10045","","endswith"
"modifier10046","","endswith"
"modifier10047","","endswith"
"modifier10048","","endswith"
"modifier10049","","endswith"
"modifier1005","","cidr"
"modifier10050","","endswith"
"modifier10051","","startswith"
"modifier10052","","startswith"
"modifier10053","","endswith"
"modifier10054","","endswith"
"modifier10055","","endswith"
"modifier10056","","endswith"
"modifier10057","","endswith"
"modifier10058","","endswith"
"modifier10059","","endswith"
"modifier1006","","cidr"
"modifier10060","","endswith"
"modifier10061","","endswith"
"modifier10062","","endswith"
"modifier10063","","endswith"
"modifier10064","","endswith"
"modifier10065","","endswith"
"modifier10066","","endswith"
"modifier10067","","endswith"
"modifier10068","","endswith"
"modifier10069","","endswith"
"modifier1007","","contains"
"modifier10070","","endswith"
"modifier10071","","endswith"
"modifier10072","","endswith"
"modifier10073","","endswith"
"modifier10074","","endswith"
"modifier10075","","endswith"
"modifier10076","","endswith"
"modifier10077","","endswith"
"modifier10078","","endswith"
"modifier10079","","contains|all"
"modifier1008","","contains"
"modifier10080","","contains|all"
"modifier10081","","contains"
"modifier10082","","contains"
