id,name
2cbefb25-f834-56d9-8d4f-8ecf695d07a8,attack.g0046
8019c975-f54f-51c1-9386-675255da2bc6,attack.g0032
1e701141-e4ee-5b88-95c8-1b59ee2e67a5,attack.t1140
2223a99e-8431-5802-8efe-e98a3dd884d5,attack.t1055.012
2012dab8-4ad8-5ce2-8176-c30a23c5efd0,attack.t1087
ce520863-bea0-51e6-8956-1f81726f0813,attack.t1136.001
90b63d5d-2cfb-5de6-acf1-a8b0636edd8c,cve.2023-27997
a83c47ae-9a4f-58a4-9000-448724c8d1e8,cve.2023-25717
b725e753-eeb7-5073-97d2-e7a19002cdd5,cve.2023-36874
d3c083ce-2123-5a06-8ab2-330cde981ef4,attack.t1505.001
627e9a58-f27c-54fc-913d-b7cbfab5ea9d,cve.2023-27363
38ae3b53-858e-58f8-85e1-633004c49999,cve.2023-22518
eb4a6d00-44a5-5a3f-ae55-0adc2fb05fc9,cve.2023-1389
f6f11b09-4f96-5337-8a58-c625465115b9,cve.2023-25157
e56668e4-4c54-59c2-86b9-beaaa0f23486,cve.2023-46214
2acce732-56e2-5044-9ae8-1fc614324520,cve.2023-43621
3e8fa5e7-e59f-5301-ac30-953c79dd4c64,cve.2023-46747
6ed7cb00-f30e-59aa-936d-e6d844d05609,attack.t1137
69e5e076-1972-57ee-b050-5ecf6682862a,cve.2023-23397
768127de-c5d5-56c2-9753-ab1377182413,cve.2023-34362
3f4e59fa-9e28-5a3a-b631-1da944dc8b1a,cve.2023-38331
7935a956-56fa-5531-a990-3bd1f044de74,cve.2023-40477
3f50e5ca-f1c6-53c0-bd59-8eee1a9aa54e,cve.2023-23752
df9812e9-43f9-57b8-8c10-d60190cef8a5,cve.2023-36884
6973ee41-b0e1-511b-9d67-a3a092ecd83c,cve.2023-2283
51ed2c39-f582-5a7c-b0da-38b15a80b77e,cve.2023-4966
6b708838-fa20-56db-b708-ff03ca973da9,attack.t1218.010
bb3267c8-7e5f-5019-a3ca-11dcffeeebcc,attack.t1036.004
e4b5d7af-bec2-5c43-b359-75328afc7c4d,attack.g0128
c2ef9d07-398b-5403-a2c7-fb4f3114978d,attack.t1003.003
412711b4-c02e-5dc4-8258-f8406d5f93ae,attack.t1567.002
3b3f2e99-bd73-5fc4-9188-f16d3cf78c30,attack.t1218.005
ca6518f7-ef5d-5534-a20f-8baab660fe13,attack.t1033
3c3c21ae-8b8a-5fce-bbe7-a2c6f944f295,attack.t1204
8d0bf620-2c2e-573f-a4dd-6e44d45cd740,attack.t1068
42377ec3-a68e-5947-9053-1d75c4c271ca,cve.2019-1388
52d51770-a8ed-5b16-aad7-fd52127fe613,cve.2019-19781
9220986a-6a5a-59fe-a0ea-2cfddab0605b,cve.2019-3398
49f3b820-dd9b-5af8-a61a-54e0d58fd3a7,cve.2019-11510
c1faed97-eb33-5087-8637-3dacadae1cde,attack.t1574
a9e91b54-9016-550a-a729-befc876a09c2,cve.2019-1378
8e4f241c-a277-5958-8e01-0c78065a7750,attack.t1546
bcd610ea-14e7-5e86-a2ac-f6f645b5bde0,attack.g0069
4b9866dc-c73d-5144-a261-45694d7747b9,attack.t1053
573d4f05-65e9-516f-817d-100385c67bd2,attack.t1021.001
0481b5d7-3234-5f5e-8543-bbc1aaa800aa,attack.t1176
51e1f733-f8e6-5ec4-b73d-ff8931481098,cve.2022-31659
0808e42f-bde5-5668-9b15-64c83c79aacc,cve.2022-21587
4b1122d4-7a79-5b78-9dce-36b79976ca6c,cve.2022-27925
2e4ec460-e529-5249-9327-c38ec9abb683,cve.2022-46169
61523e61-efed-51fc-b4b7-fee6683040f4,cve.2022-29072
e5ca5572-80aa-541e-b4a9-6b5af4822018,cve.2022-26809
9a7b91fb-ab18-5763-85ee-6af4ac125078,attack.t1221
8ea27a75-54ac-5e83-9aac-d65c40d76cb4,cve.2022-24527
1a57c0d0-a353-55a3-a1c1-b48ca0ab2dba,cve.2023-21554
91d6dde4-501c-5e45-9db5-f64e093b6aa8,cve.2022-33891
e42f6737-e6ad-5e99-adbb-b8fe44a5bbf3,cve.2022-42475
11c26471-9cb7-5934-868b-7540bba82326,cve.2022-22954
c7c01e89-22fc-545c-b2fd-19d3c231bd2b,cve.2022-36804
eaf03ef3-3b67-5dde-85bd-afc20f003828,cve.2022-31656
6300d882-7fe7-58f0-a9fb-3b34813c3a98,cve.2022-41120
394838a3-b12d-5051-9159-31fac87048c5,cve.2022-44877
865a7a63-01eb-5daf-9286-e51167a6c0fe,attack.g0125
afb3c173-1d8c-5533-ac23-9980bb5447ea,attack.t1546.015
49ddc34b-7c0f-51e1-89c9-d5b5196a64a5,attack.g0115
e5013191-b637-5f92-9fb9-fa94ea99f4ed,attack.s0575
b5c7c935-b915-5525-b782-520642a720ea,attack.t1005
148cf8d0-8f37-506d-b731-9f80a97396a3,attack.t1587
cac9cce2-01c6-52d3-bf8a-14424ac5f1e3,attack.t1485
